User_ID,User_Name,NFC_ID,Date_of_Exercise,Time_of_Exercise,Sit_Stand_Transitions_30s
1,User_1,19c50d99-b22a-455e-9420-dbdc6ccd7623,2024-01-22,12:37:06.517167,13
2,User_2,05bfb6c6-2252-4209-8e58-3e06b00c1c68,2024-01-22,12:37:06.517167,9
3,User_3,774b9e1e-b666-4ad9-8520-9d68d6a0ed2f,2024-01-22,12:37:06.517167,19
4,User_4,ff9d6787-b67c-4ee0-be06-f7de94baf416,2024-01-22,12:37:06.528659,11
5,User_5,3cd9f993-0aaf-41ec-bff2-309b1a9c1b31,2024-01-22,12:37:06.528659,16
6,User_6,91e2db21-5704-45f9-af3d-74ea59f92bea,2024-01-22,12:37:06.528659,10
7,User_7,4cbc9edf-b24f-4511-8a64-63f418b7b8f1,2024-01-22,12:37:06.530474,6
8,User_8,9576133c-f67a-4d38-b8cf-5461582f2ddd,2024-01-22,12:37:06.530474,7
9,User_9,1fb631e3-1f79-4fd4-81b1-89b89282a3c5,2024-01-22,12:37:06.530474,16
10,User_10,2abe368d-5092-4449-b4e0-88c3659efeda,2024-01-22,12:37:06.530474,8
